,date,12:00 AM,12:30 AM,1:00 AM,1:30 AM,2:00 AM,2:30 AM,3:00 AM,3:30 AM,4:00 AM,4:30 AM,5:00 AM,5:30 AM,6:00 AM,6:30 AM,7:00 AM,7:30 AM,8:00 AM,8:30 AM,9:00 AM,9:30 AM,10:00 AM,10:30 AM,11:00 AM,11:30 AM,12:00 PM,12:30 PM,1:00 PM,1:30 PM,2:00 PM,2:30 PM,3:00 PM,3:30 PM,4:00 PM,4:30 PM,5:00 PM,5:30 PM,6:00 PM,6:30 PM,7:00 PM,7:30 PM,8:00 PM,8:30 PM,9:00 PM,9:30 PM,10:00 PM,10:30 PM,11:00 PM,11:30 PM
0,2017/01/01,13.0,13.0,13.0,13.0,13.0,13.0,13.0,12.0,12.0,12.0,12.0,12.0,11.0,11.0,11.0,11.0,12.0,12.0,13.0,15.0,17.0,17.0,18.0,20.0,20.0,21.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,21.0,21.0,21.0,19.0,18.0,18.0,18.0,17.0,16.0,16.0,16.0,15.0,15.0,14.0,14.0
1,2017/01/02,14.0,14.0,14.0,13.0,13.0,13.0,13.0,13.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,11.0,11.0,12.0,14.0,14.0,14.0,16.0,17.0,18.0,19.0,20.0,20.0,21.0,21.0,22.0,22.0,22.0,22.0,21.0,20.0,20.0,19.0,18.0,17.0,17.0,16.0,15.0,15.0,15.0,15.0,14.0,14.0,13.0
2,2017/01/03,13.0,13.0,13.0,12.0,13.0,12.0,12.0,12.0,12.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.0,13.0,14.0,16.0,18.0,20.0,21.0,21.0,22.0,22.0,22.0,22.0,21.0,20.0,19.0,19.0,18.0,17.0,17.0,17.0,17.0,17.0,16.0,15.0,15.0,15.0,14.0
3,2017/01/04,13.0,13.0,13.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,11.0,11.0,11.0,11.0,11.0,13.0,14.0,16.0,17.0,20.0,21.0,22.0,22.0,23.0,23.0,23.0,24.0,24.0,24.0,24.0,24.0,24.0,23.0,22.0,21.0,21.0,19.0,19.0,18.0,17.0,17.0,17.0,16.0,16.0,15.0,15.0,15.0
4,2017/01/05,14.0,14.0,14.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,15.0,16.0,18.0,19.0,20.0,21.0,22.0,24.0,24.0,24.0,25.0,24.0,24.0,24.0,24.0,24.0,23.0,21.0,21.0,19.0,18.0,17.0,17.0,17.0,17.0,17.0,17.0,16.0,16.0,16.0
5,2017/01/06,15.0,15.0,16.0,16.0,16.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,21.0,23.0,23.0,24.0,24.0,24.0,23.0,24.0,24.0,23.0,22.0,21.0,21.0,20.0,19.0,19.0,18.0,18.0,18.0,17.0,17.0,17.0,17.0,16.0,16.0
6,2017/01/07,16.0,16.0,16.0,15.0,15.0,15.0,15.0,13.768358056507555,15.0,15.0,15.0,15.0,15.0,14.0,14.0,14.0,14.0,13.0,13.0,13.0,14.0,14.0,14.0,14.0,15.0,15.0,15.0,16.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,14.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0
7,2017/01/08,13.0,13.0,14.906447624115028,13.0,13.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,14.0,15.0,15.0,16.0,17.0,18.0,18.0,18.0,19.0,19.0,21.0,21.0,21.0,20.0,19.0,18.0,17.0,16.0,15.0,16.0,16.0,15.0,15.0,15.0,14.0,13.0,13.0,13.0,13.0
8,2017/01/09,13.0,13.0,13.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,11.0,11.0,10.0,10.0,10.0,11.0,11.0,11.0,10.0,10.0,10.0,11.0,12.0,14.0,15.0,16.0,16.0,17.0,17.0,18.0,18.0,18.0,17.0,17.0,16.0,15.0,14.0,14.0,14.0,13.0,13.0,13.0,12.0,12.0,12.0,12.0,12.0
9,2017/01/10,12.0,11.0,10.0,9.0,9.0,9.0,9.0,9.0,8.0,8.0,7.0,7.0,7.0,7.0,6.0,6.0,6.0,7.0,7.0,7.0,9.0,11.0,13.0,15.0,15.0,17.0,17.0,16.0,17.0,17.0,17.0,17.0,17.0,16.0,16.0,15.0,14.0,13.0,12.0,12.0,11.0,11.0,11.0,11.0,10.0,10.0,10.0,9.0
10,2017/01/11,9.0,9.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,4.0,5.0,6.0,8.0,9.0,11.0,13.0,14.0,15.0,15.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,15.0,14.0,13.0,13.0,12.0,12.0,12.0,11.0,11.0,11.0,11.0,11.0,10.0,9.0
11,2017/01/12,9.0,8.0,8.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,6.0,8.0,9.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,18.0,18.0,18.0,18.0,18.0,17.0,18.0,17.0,16.0,15.0,15.0,13.0,12.0,11.0,11.0,10.0,10.0,10.0,10.0,9.0,9.0
12,2017/01/13,8.0,8.0,8.0,8.0,8.0,7.0,7.0,7.0,7.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0,9.0,10.0,14.0,14.0,14.0,16.0,17.0,18.418690682200566,18.0,19.0,19.0,19.0,19.0,15.7235732737068,18.0,18.0,17.0,16.0,15.0,14.0,14.0,13.0,13.0,12.0,12.0,12.0,12.0,12.0,9.0
13,2017/01/14,9.0,9.0,9.0,9.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0,7.0,7.0,6.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,14.0,15.0,16.0,17.0,19.0,19.0,19.0,19.0,18.0,17.0,17.0,17.0,16.0,16.0,15.0,15.0,15.0,14.0,13.0,13.0,13.0,12.0,13.0,13.0,13.0,13.0
14,2017/01/15,13.0,13.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,11.0,11.0,11.0,11.0,9.0,9.0,9.0,10.0,12.0,14.0,15.0,16.0,17.0,19.0,20.0,21.0,21.0,22.0,23.0,23.0,23.0,22.0,22.0,22.0,21.0,21.0,19.0,18.0,17.0,17.0,17.0,17.0,17.0,16.0,16.0,16.0,16.0,15.0
15,2017/01/16,15.0,15.0,15.0,15.0,15.0,15.0,15.0,14.0,14.0,14.0,13.0,13.0,12.0,12.0,13.0,12.0,11.0,12.0,12.0,13.0,14.0,15.0,16.0,16.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,16.0,16.0,15.0,14.0,13.0,13.0,12.0,12.0,11.0,11.0,11.0,10.0,10.0,10.0,9.0,9.0
